Elk_ID	Feedground	CollarType	GPSCollar	CaptureDate	Start_Interval	Stop_Interval	TrustRating	VIT_Status	PET	CowSero	VIT_Bruc	Recovered	RecoveryInterval
737	Fall	GPS	Yes	2/24/2013	7/2/2013	7/9/2013	2	Parturition	Bad	NEG	NA	7/15/2013	6
793	Muddy	VHF	No	2/16/2014	6/9/2014	6/13/2014	2	Parturition	Fair	NEG	NA	6/19/2014	6
804	Scab	GPS	Yes	2/22/2014	6/25/2014	7/1/2014	2	Parturition	Fair	NEG	NA	7/7/2014	6
006	Dell	VHF	No	1/18/2008	6/15/2008	6/20/2008	2	Parturition	Bad	NEG	NEG	6/25/2008	5
032	Soda	None	No	3/9/2006	6/15/2006	6/19/2006	5	Parturition	Bad	NEG	POS	6/24/2006	5
041	Scab	None	No	2/12/2006	5/25/2006	5/31/2006	2	Parturition	Bad	NEG	NA	6/5/2006	5
041	Scab	VHF	No	2/23/2008	5/25/2008	5/27/2008	5	Parturition	Bad	NEG	NEG	6/1/2008	5
054	Bench	GPS	Yes	2/18/2007	3/7/2007	3/15/2007	2	Abortion	Bad	POS	NA	3/20/2007	5
075	Soda	Prox	No	2/28/2006	3/3/2006	3/4/2006	2	Abortion	Bad	POS	NA	3/9/2006	5
094	Dell	GPS	Yes	1/14/2009	5/27/2009	5/28/2009	2	Parturition	Good	NEG	NEG	6/2/2009	5
106	Finnegan	GPS	Yes	1/9/2009	5/19/2009	5/21/2009	2	Parturition	Bad	NEG	NEG	5/26/2009	5
147	South	GPS	Yes	2/3/2009	6/1/2009	6/2/2009	1	Parturition	Bad	POS	NEG	6/7/2009	5
166	Soda	None	No	3/10/2006	5/31/2006	6/7/2006	5	Parturition	Bad	NEG	NA	6/12/2006	5
174	Muddy	VHF	No	2/21/2011	5/27/2011	6/1/2011	2	Parturition	Good	NEG	NA	6/6/2011	5
177	Dell	VHF	No	2/16/2010	5/27/2010	5/28/2010	5	Parturition	Bad	NEG	NEG	6/2/2010	5
186	Jewett	GPS	Yes	2/9/2010	5/25/2010	5/26/2010	1	Parturition	Bad	NEG	NEG	5/31/2010	5
192	South	GPS	Yes	2/17/2010	5/26/2010	5/27/2010	1	Parturition	Good	NEG	NEG	6/1/2010	5
202	HA99	GPS	Yes	1/27/2010	5/30/2010	5/31/2010	1	Parturition	Good	POS	NEG	6/5/2010	5
204	Spring	GPS	Yes	1/28/2010	6/8/2010	6/9/2010	1	Parturition	Good	NEG	NA	6/14/2010	5
212	HA99	GPS	Yes	1/27/2010	5/7/2010	5/22/2010	2	Parturition	Bad	NEG	NA	5/27/2010	5
213	HA99	GPS	Yes	3/15/2011	5/31/2011	6/1/2011	1	Parturition	Good	NEG	NA	6/6/2011	5
220	HA99	GPS	Yes	1/27/2010	1/27/2010	5/23/2010	5	Parturition	Bad	NEG	NA	5/28/2010	5
