ID,Feedground,Capture Date,Start Interval,Stop Interval,Event Type,Brucella,Data Quality
313,Scab,2/27/2006,5/31/2006,6/6/2006,Birth,POS,2
314,Scab,2/27/2006,6/15/2006,6/23/2006,Birth,NEG,2
315,Scab,3/1/2007,5/24/2007,5/29/2007,Birth,NEG,2
315,Scab,2/12/2006,2/12/2006,4/21/2006,Unknown,NEG,6
316,Scab,2/27/2006,5/20/2006,6/9/2006,Birth,NEG,2
317,Scab,2/12/2006,5/31/2006,6/9/2006,Birth,NEG,2
318,Scab,2/12/2006,5/31/2006,6/15/2006,Birth,NEG,2
319,Scab,2/27/2006,5/31/2006,6/23/2006,Birth,NEG,2
320,Soda,2/28/2006,2/28/2006,4/26/2006,Abortion,POS,4
321,Soda,2/21/2006,,,Unknown,NEG,7
322,Soda,2/28/2006,,,Unknown,NEG,7
323,Soda,2/22/2007,,,Unknown,POS,7
323,Soda,3/13/2011,5/21/2011,5/22/2011,Birth,POS,1
323,Soda,2/28/2006,2/28/2006,5/10/2006,Abortion,POS,4
324,Soda,3/9/2006,,,Open,NEG,7
325,Scab,1/5/2007,,,Unknown,NEG,7
326,Scab,1/5/2007,,,Unknown,NEG,7
327,Scab,1/5/2007,6/6/2007,6/7/2007,Birth,NEG,1
328,Scab,1/5/2007,5/23/2007,5/24/2007,Birth,POS,1
329,Scab,1/5/2007,6/8/2007,6/15/2007,Birth,NEG,2
330,Scab,1/5/2007,,,Unknown,NEG,7
331,Scab,1/16/2007,1/16/2007,5/25/2007,Birth,POS,5
332,Scab,1/16/2007,5/23/2007,6/25/2007,Birth,POS,2
333,Scab,1/16/2007,6/10/2007,6/11/2007,Birth,POS,1
334,Scab,1/23/2007,1/23/2007,6/30/2007,Birth,NEG,5
335,Scab,1/23/2007,,,Unknown,NEG,7
336,Scab,1/23/2007,1/23/2007,5/31/2007,Birth,NEG,5
337,Scab,1/23/2007,6/8/2007,6/26/2007,Birth,POS,2
338,Scab,1/23/2007,1/23/2007,5/22/2007,Birth,NEG,5
339,Scab,2/14/2007,6/3/2007,6/4/2007,Birth,NEG,1
340,Scab,2/14/2007,6/3/2007,6/4/2007,Birth,NEG,1
341,Scab,2/20/2007,5/27/2007,5/28/2007,Birth,NEG,1
342,Scab,2/20/2007,6/5/2007,6/6/2007,Birth,NEG,1
343,Scab,2/23/2007,5/30/2007,5/31/2007,Birth,NEG,1
344,Scab,2/23/2007,,,Unknown,NEG,7
345,Scab,2/26/2007,6/5/2007,6/6/2007,Birth,NEG,1
346,Scab,2/26/2007,5/23/2007,6/15/2007,Birth,NEG,2
347,Scab,2/26/2007,2/26/2007,5/22/2007,Birth,NEG,5
348,Scab,2/26/2007,5/22/2007,,Died,NEG,7
349,Scab,3/1/2007,5/31/2007,6/3/2007,Birth,NEG,2
351,Scab,3/1/2007,6/10/2007,6/11/2007,Birth,NEG,1
352,Scab,3/7/2007,6/15/2007,7/2/2007,Birth,NEG,2
353,Scab,3/7/2007,3/7/2007,5/29/2007,Birth,NEG,5
354,Scab,3/7/2007,3/7/2007,5/20/2007,Birth,NEG,5
355,Soda,1/27/2007,6/8/2007,6/14/2007,Birth,NEG,2
356,Soda,1/27/2007,6/5/2007,6/6/2007,Birth,NEG,1
357,Soda,1/27/2007,5/29/2007,5/30/2007,Birth,NEG,1
358,Soda,1/27/2007,1/27/2007,2/28/2007,Abortion,POS,2
359,Soda,1/27/2007,,,Open,NEG,7
360,Soda,1/27/2007,,,Open,NEG,7
361,Soda,1/27/2007,,,Open,POS,7
362,Soda,1/27/2007,6/7/2007,6/8/2007,Birth,NEG,1
363,Soda,1/27/2007,6/7/2007,6/8/2007,Birth,NEG,1
364,Soda,1/15/2007,1/15/2007,8/9/2007,Birth,NEG,5
365,Soda,1/27/2007,5/23/2007,5/26/2007,Birth,NEG,2
366,Soda,1/15/2007,1/15/2007,5/27/2007,Birth,NEG,5
367,Soda,1/19/2007,1/19/2007,5/22/2007,Birth,NEG,5
368,Soda,3/13/2011,6/7/2011,6/8/2011,Birth,NEG,1
368,Soda,1/19/2007,6/15/2007,6/21/2007,Birth,POS,2
369,Soda,1/19/2007,1/19/2007,5/8/2007,Abortion,POS,4
370,Soda,2/11/2007,,,Unknown,NEG,7
